label,relationship,topic,text,sentiment,emotional_tone
truthful,family,work,"Speaker 1: Generic sarcasm statement about finances.
Speaker 2: Generic truthful response.",negative,sarcasm
truthful,family,dinner,"Sister: I feel so lonely lately since I moved.
Me: I'm sorry to hear that. I'm always here for you.",negative,sadness
deceptive,friend,finances,"Friend: I'm sorry you didn't get the job.
Me: It's okay, I didn't want it anyway. (I'm devastated)",negative,sadness
truthful,friend,dinner,"Friend: The bathroom at that club was so gross.
Me: Tell me about it, I almost threw up.",negative,disgust
truthful,friend,dinner,"Speaker 1: Generic sadness statement about dinner.
Speaker 2: Generic truthful response.",negative,sadness
deceptive,family,dinner,"Brother: Oh sure, you're the absolute best sibling ever.
Me: Yeah, and you're the most responsible person I know.",positive,sarcasm
truthful,friend,dinner,"Friend: I can't believe we actually won the lottery!
Me: This is insane! Is it really happening?!",positive,surprise
truthful,family,finances,"Sister: I miss you so much, we need to catch up soon.
Me: I miss you too! Let's do lunch this weekend.",positive,affection
deceptive,family,trip,"Mom: I just *love* cleaning up after you all day.
Me: Well, it's your favorite hobby, right?",positive,sarcasm
deceptive,family,work,"Speaker 1: Generic affection statement about work.
Speaker 2: Generic deceptive response.",positive,affection
truthful,friend,finances,"Friend: That trip was incredible!
Me: I know, right? Best weekend ever!",positive,joy
truthful,friend,trip,"Speaker 1: Generic sadness statement about trip.
Speaker 2: Generic truthful response.",negative,sadness
truthful,family,work,"Speaker 1: Generic fear statement about trip.
Speaker 2: Generic truthful response.",negative,fear
truthful,friend,trip,"Speaker 1: Generic affection statement about finances.
Speaker 2: Generic truthful response.",positive,affection
truthful,friend,dinner,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
truthful,friend,gossip,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
truthful,family,trip,"Sister: I miss you so much, we need to catch up soon.
Me: I miss you too! Let's do lunch this weekend.",positive,affection
deceptive,friend,gossip,"Friend: How much did this cost?
Me: Only twenty bucks. (It was hundred)",neutral,neutral
deceptive,family,work,"Dad: Did you break this vase?!
Me: No! I didn't even touch it! (I knocked it over earlier)",negative,aggression
deceptive,family,gossip,"Speaker 1: Generic sadness statement about dinner.
Speaker 2: Generic deceptive response.",negative,sadness
deceptive,friend,plans,"Friend: Are you free tomorrow?
Me: No, I have a doctor's appointment. (I just want to stay home)",neutral,neutral
deceptive,family,trip,"Speaker 1: Generic surprise statement about trip.
Speaker 2: Generic deceptive response.",positive,surprise
deceptive,family,plans,"Speaker 1: Generic surprise statement about dinner.
Speaker 2: Generic deceptive response.",positive,surprise
truthful,family,work,"Sister: I miss you so much, we need to catch up soon.
Me: I miss you too! Let's do lunch this weekend.",positive,affection
truthful,family,work,"Mom: What time are you coming home?
Me: Around 6 PM.",neutral,neutral
truthful,family,trip,"Brother: Did you feed the dog?
Me: Yes, about an hour ago.",neutral,neutral
deceptive,friend,trip,"Friend: Your ex just walked in.
Me: Oh perfect, just what I needed today.",positive,sarcasm
truthful,family,gossip,"Speaker 1: Generic sarcasm statement about finances.
Speaker 2: Generic truthful response.",negative,sarcasm
deceptive,friend,finances,"Speaker 1: Generic surprise statement about plans.
Speaker 2: Generic deceptive response.",positive,surprise
truthful,friend,dinner,"Speaker 1: Generic affection statement about plans.
Speaker 2: Generic truthful response.",positive,affection
deceptive,friend,finances,"Speaker 1: Generic surprise statement about gossip.
Speaker 2: Generic deceptive response.",positive,surprise
truthful,friend,gossip,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
deceptive,family,plans,"Brother: Where were you last night?
Me: Just studying at the library. (I was at a party)",neutral,neutral
truthful,friend,work,"Speaker 1: Generic sadness statement about plans.
Speaker 2: Generic truthful response.",negative,sadness
truthful,family,plans,"Brother: Did you feed the dog?
Me: Yes, about an hour ago.",neutral,neutral
deceptive,friend,work,"Friend: Are you free tomorrow?
Me: No, I have a doctor's appointment. (I just want to stay home)",neutral,neutral
truthful,family,gossip,"Brother: Why did you take my car without asking?!
Me: I needed to go to the store and yours was blocking mine!",negative,aggression
truthful,friend,work,"Friend: Guess what? I got engaged!
Me: OH MY GOSH! Congratulations!!",positive,joy
truthful,friend,plans,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
truthful,friend,trip,"Speaker 1: Generic sadness statement about work.
Speaker 2: Generic truthful response.",negative,sadness
deceptive,family,dinner,"Speaker 1: Generic sadness statement about plans.
Speaker 2: Generic deceptive response.",negative,sadness
truthful,friend,dinner,"Friend: Want to grab coffee?
Me: Sure, meet you at 10.",neutral,neutral
truthful,friend,gossip,"Friend: Did you watch the game?
Me: Yeah, it was okay.",neutral,neutral
truthful,family,plans,"Speaker 1: Generic sarcasm statement about trip.
Speaker 2: Generic truthful response.",positive,sarcasm
